SEED	functions_L1	functions_L2	functions_L3
seed137	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)
seed138	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	"L3_Electron transfer flavoprotein, alpha subunit"
seed139	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	"L3_Electron transfer flavoprotein, beta subunit"
seed140	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1)
seed141	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_Enoyl-CoA hydratase [isoleucine degradation] (EC 4.2.1.17)
seed142	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_Enoyl-CoA hydratase [valine degradation] (EC 4.2.1.17)
seed143	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)
seed144	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_Leucine dehydrogenase (EC 1.4.1.9)
seed145	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_Methylcrotonyl-CoA carboxylase biotin-containing subunit (EC 6.4.1.4)
seed146	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)
seed147	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_Methylglutaconyl-CoA hydratase (EC 4.2.1.18)
seed148	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)
seed149	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	"L3_Predicted transcriptional regulator LiuR of leucine degradation pathway, MerR family"
seed150	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)
seed151	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5)
seed152	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_Transcriptional regulator BkdR of isoleucine and valine catabolism operon
seed153	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	L3_(R)-citramalate synthase (EC 2.3.1.182)
seed154	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	L3_2-isopropylmalate synthase (EC 2.3.3.13)
seed155	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	L3_3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)
seed156	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	L3_3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)
seed157	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	L3_3-isopropylmalate dehydrogenase (EC 1.1.1.85)
seed158	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	L3_Acetolactate synthase large subunit (EC 2.2.1.6)
seed159	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	L3_Acetolactate synthase small subunit (EC 2.2.1.6)
seed160	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	"L3_Acetolactate synthase small subunit (EC 2.2.1.6), predicted"
seed161	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	"L3_Acetolactate synthase small subunit (EC 2.2.1.6), Xanthomonadales type"
seed162	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	L3_Dihydroxy-acid dehydratase (EC 4.2.1.9)
seed163	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	L3_Ketol-acid reductoisomerase (EC 1.1.1.86)
seed164	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	"L3_Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system"
seed165	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	L3_Threonine dehydratase (EC 4.3.1.19)
seed166	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	L3_Threonine dehydratase biosynthetic (EC 4.3.1.19)
seed167	L1_Amino Acids and Derivatives	L2_Branched-Chain Amino Acid Biosynthesis	"L3_Threonine dehydratase, catabolic (EC 4.3.1.19)"
seed168	L1_Amino Acids and Derivatives	L2_Branched-chain amino acid metabolism in plants	L3_Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)
seed169	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in plants	"L3_2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.2.1.10)"
seed170	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in plants	L3_2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)
seed171	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in plants	"L3_3,7-dideoxy-D-threo-hepto-2, 6-diulosonate synthase (EC 1.4.1.24)"
seed172	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in plants	L3_3-dehydroquinate dehydratase I (EC 4.2.1.10)
seed173	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in plants	L3_3-dehydroquinate synthase (EC 4.2.3.4)
seed174	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in plants	L3_5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)
seed175	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in plants	L3_Chorismate synthase (EC 4.2.3.5)
seed176	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in plants	L3_Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)
seed177	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in plants	L3_Shikimate kinase I (EC 2.7.1.71)
seed178	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in Streptococci	L3_2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)
seed179	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in Streptococci	L3_2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)
seed180	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in Streptococci	L3_Aromatic amino acid aminotransferase gamma (EC 2.6.1.57)
seed181	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in Streptococci	L3_Chorismate mutase I (EC 5.4.99.5)
seed182	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in Streptococci	L3_Prephenate and/or arogenate dehydrogenase (unknown specificity) (EC 1.3.1.12)(EC 1.3.1.43)
seed183	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in Streptococci	L3_Prephenate dehydratase (EC 4.2.1.51)
seed184	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in Streptococci	L3_Prephenate dehydrogenase (EC 1.3.1.12)
seed185	L1_Amino Acids and Derivatives	L2_Chorismate biosynthesis in Streptococci	L3_Shikimate/quinate 5-dehydrogenase I beta (EC 1.1.1.282)
seed186	L1_Amino Acids and Derivatives	L2_Chorismate Synthesis	L3_2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)
seed187	L1_Amino Acids and Derivatives	L2_Chorismate Synthesis	L3_3-dehydroquinate dehydratase II (EC 4.2.1.10)
seed188	L1_Amino Acids and Derivatives	L2_Chorismate Synthesis	"L3_4-amino, 4-deoxyprephenate dehydrogenase (EC 1.3.1.-)"
seed189	L1_Amino Acids and Derivatives	L2_Chorismate Synthesis	L3_Arogenate dehydrogenase (EC 1.3.1.43)
seed190	L1_Amino Acids and Derivatives	L2_Chorismate Synthesis	L3_Chorismate mutase II (EC 5.4.99.5)
seed191	L1_Amino Acids and Derivatives	L2_Chorismate Synthesis	L3_Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43)
seed192	L1_Amino Acids and Derivatives	L2_Chorismate Synthesis	L3_Periplasmic chorismate mutase I precursor (EC 5.4.99.5)
seed193	L1_Amino Acids and Derivatives	L2_Chorismate Synthesis	L3_Quinate/shikimate 5-dehydrogenase I delta (EC 1.1.1.25)
seed194	L1_Amino Acids and Derivatives	L2_Chorismate Synthesis	L3_Quinate/shikimate dehydrogenase [Pyrroloquinoline-quinone] (EC 1.1.99.25)
