sampleID	label	Detailed_location	include	PlantExperimentDetails	Location	Room_location	PlantExperiment	Department	Time_point	detail_Control	Live_dead	study	Confinement	Confinement_Numerisch
ICU_T2.23.2	ICU_T2.23.2	table_next_to_keyboard	1	ICU	table	nurses_station	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_3	3
ICU_T2.24.1	ICU_T2.24.1	sink	1	ICU	sink	nurses_station	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_3	3
ICU_T2.24.2	ICU_T2.24.2	sink	1	ICU	sink	nurses_station	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_3	3
ICU_T2.3.1	ICU_T2.3.1	touchscreen_keyboard_pumpstation_and_around	1	ICU	pumpstation	isolation_room	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.3.2	ICU_T2.3.2	touchscreen_keyboard_pumpstation_and_around	1	ICU	pumpstation	isolation_room	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.4.1	ICU_T2.4.1	syringe_trolley	1	ICU	syringe_trolley	isolation_room	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.4.2	ICU_T2.4.2	syringe_trolley	1	ICU	syringe_trolley	isolation_room	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.5.1	ICU_T2.5.1	floor_under_bed_2m2	1	ICU	floor	examination_room	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.5.2	ICU_T2.5.2	floor_under_bed_2m2	1	ICU	floor	examination_room	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.6.1	ICU_T2.6.1	touchscreen_keyboard_pumpstation_and_around	1	ICU	pumpstation	examination_room	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.6.2	ICU_T2.6.2	touchscreen_keyboard_pumpstation_and_around	1	ICU	pumpstation	examination_room	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.7.1	ICU_T2.7.1	syringe_trolley	1	ICU	syringe_trolley	examination_room	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.7.2	ICU_T2.7.2	syringe_trolley	1	ICU	syringe_trolley	examination_room	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.8.1	ICU_T2.8.1	bed	1	ICU	bed	examination_room	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.8.2	ICU_T2.8.2	bed	1	ICU	bed	examination_room	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.9.1	ICU_T2.9.1	floor_2m2	1	ICU	floor	air_lock	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.9.2	ICU_T2.9.2	floor_2m2	1	ICU	floor	air_lock	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.1.1	ICU_T3.1.1	floor_under_bed_2m2	1	ICU	floor	isolation_room	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.1.2	ICU_T3.1.2	floor_under_bed_2m2	1	ICU	floor	isolation_room	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.10.1	ICU_T3.10.1	sink	1	ICU	sink	air_lock	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.10.2	ICU_T3.10.2	sink	1	ICU	sink	air_lock	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.11.1	ICU_T3.11.1	door_door_handle	1	ICU	door_handle	air_lock	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.11.2	ICU_T3.11.2	door_door_handle	1	ICU	door_handle	air_lock	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.12.1	ICU_T3.12.1	floor_under_bed_2m2	1	ICU	floor	2_bed_patient_room	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.12.2	ICU_T3.12.2	floor_under_bed_2m2	1	ICU	floor	2_bed_patient_room	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.13.1	ICU_T3.13.1	right_side_of_the_bed_the_whole_frame	1	ICU	bedframe	2_bed_patient_room	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.13.2	ICU_T3.13.2	right_side_of_the_bed_the_whole_frame	1	ICU	bedframe	2_bed_patient_room	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.14.1	ICU_T3.14.1	areas_around_touchscreen_and_keyboard	1	ICU	keyboard	2_bed_patient_room	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.14.2	ICU_T3.14.2	areas_around_touchscreen_and_keyboard	1	ICU	keyboard	2_bed_patient_room	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.15.1	ICU_T3.15.1	working_trolley	1	ICU	working_trolley	2_bed_patient_room	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.15.2	ICU_T3.15.2	working_trolley	1	ICU	working_trolley	2_bed_patient_room	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.17.1	ICU_T3.17.1	floor_in_front_of_oval_table_1m2	1	ICU	floor	waiting_area	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_3	3
ICU_T3.17.2	ICU_T3.17.2	floor_in_front_of_oval_table_1m2	1	ICU	floor	waiting_area	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_3	3
ICU_T3.18.1	ICU_T3.18.1	door_handle_hallway	1	ICU	door_handle	waiting_area	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_3	3
ICU_T3.18.2	ICU_T3.18.2	door_handle_hallway	1	ICU	door_handle	waiting_area	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_3	3
ICU_T3.19.1	ICU_T3.19.1	floor_1m2	1	ICU	floor	toilet	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_3	3
ICU_T3.19.2	ICU_T3.19.2	floor_1m2	1	ICU	floor	toilet	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_3	3
ICU_T3.2.1	ICU_T3.2.1	right_side_of_the_bed_the_whole_frame	1	ICU	bedframe	isolation_room	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.2.2	ICU_T3.2.2	right_side_of_the_bed_the_whole_frame	1	ICU	bedframe	isolation_room	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.20.1	ICU_T3.20.1	sink	1	ICU	sink	toilet	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_3	3
ICU_T3.20.2	ICU_T3.20.2	sink	1	ICU	sink	toilet	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_3	3
ICU_T3.21.1	ICU_T3.21.1	toilet_flush	1	ICU	toilet_flush	toilet	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_3	3
ICU_T3.21.2	ICU_T3.21.2	toilet_flush	1	ICU	toilet_flush	toilet	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_3	3
ICU_T3.22.1	ICU_T3.22.1	floor_1m2	1	ICU	floor	nurses_station	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_3	3
ICU_T3.22.2	ICU_T3.22.2	floor_1m2	1	ICU	floor	nurses_station	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_3	3
ICU_T3.23.1	ICU_T3.23.1	table_next_to_keyboard	1	ICU	table	nurses_station	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_3	3
ICU_T3.23.2	ICU_T3.23.2	table_next_to_keyboard	1	ICU	table	nurses_station	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_3	3
ICU_T3.24.1	ICU_T3.24.1	sink	1	ICU	sink	nurses_station	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_3	3
ICU_T3.24.2	ICU_T3.24.2	sink	1	ICU	sink	nurses_station	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_3	3
ICU_T3.3.1	ICU_T3.3.1	touchscreen_keyboard_pumpstation_and_around	1	ICU	pumpstation	isolation_room	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.3.2	ICU_T3.3.2	touchscreen_keyboard_pumpstation_and_around	1	ICU	pumpstation	isolation_room	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.4.1	ICU_T3.4.1	syringe_trolley	1	ICU	syringe_trolley	isolation_room	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.4.2	ICU_T3.4.2	syringe_trolley	1	ICU	syringe_trolley	isolation_room	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.5.1	ICU_T3.5.1	floor_under_bed_2m2	1	ICU	floor	examination_room	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.5.2	ICU_T3.5.2	floor_under_bed_2m2	1	ICU	floor	examination_room	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.6.1	ICU_T3.6.1	touchscreen_keyboard_pumpstation_and_around	1	ICU	pumpstation	examination_room	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.6.2	ICU_T3.6.2	touchscreen_keyboard_pumpstation_and_around	1	ICU	pumpstation	examination_room	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.7.1	ICU_T3.7.1	syringe_trolley	1	ICU	syringe_trolley	examination_room	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.7.2	ICU_T3.7.2	syringe_trolley	1	ICU	syringe_trolley	examination_room	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.8.1	ICU_T3.8.1	bed	1	ICU	bed	examination_room	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.8.2	ICU_T3.8.2	bed	1	ICU	bed	examination_room	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
ICU_T3.9.1	ICU_T3.9.1	floor_2m2	1	ICU	floor	air_lock	ICU	ICU	t3	Sample_ICU	DNA	resistome	Level_2	2
ICU_T3.9.2	ICU_T3.9.2	floor_2m2	1	ICU	floor	air_lock	ICU	ICU	t3	Sample_ICU	PMA	resistome	Level_2	2
OP_T1.26.1	OP_T1.26.1	floor_1m2	1	OP	floor	Operating_room	OP	Operating_room	t1	Sample_OP	DNA	resistome	Level_1	1
OP_T1.26.2	OP_T1.26.2	floor_1m2	1	OP	floor	Operating_room	OP	Operating_room	t1	Sample_OP	PMA	resistome	Level_1	1
OP_T1.27.1	OP_T1.27.1	"areas_around_keyboard_1,_PC_on_the_right"	1	OP	areas_around_keyboard	Operating_room	OP	Operating_room	t1	Sample_OP	DNA	resistome	Level_1	1
OP_T1.27.2	OP_T1.27.2	"areas_around_keyboard_1,_PC_on_the_right"	1	OP	areas_around_keyboard	Operating_room	OP	Operating_room	t1	Sample_OP	PMA	resistome	Level_1	1
OP_T1.28.1	OP_T1.28.1	Swivel_system_devices_on_the_left	1	OP	Swivel_system_devices	Operating_room	OP	Operating_room	t1	Sample_OP	DNA	resistome	Level_1	1
OP_T1.28.2	OP_T1.28.2	Swivel_system_devices_on_the_left	1	OP	Swivel_system_devices	Operating_room	OP	Operating_room	t1	Sample_OP	PMA	resistome	Level_1	1
OP_T1.29.1	OP_T1.29.1	Remote_Control_and_Surface_DrÌ?ger_on_the_right_behind_the_1st_PC	1	OP	Remote_Control_and_Surface	Operating_room	OP	Operating_room	t1	Sample_OP	DNA	resistome	Level_1	1
OP_T1.29.2	OP_T1.29.2	Remote_Control_and_Surface_DrÌ?ger_on_the_right_behind_the_1st_PC	1	OP	Remote_Control_and_Surface	Operating_room	OP	Operating_room	t1	Sample_OP	PMA	resistome	Level_1	1
OP_T1.30.1	OP_T1.30.1	Syringe_cart_on_the_front_left_side	1	OP	Syringe_cart	Operating_room	OP	Operating_room	t1	Sample_OP	DNA	resistome	Level_1	1
OP_T1.30.2	OP_T1.30.2	Syringe_cart_on_the_front_left_side	1	OP	Syringe_cart	Operating_room	OP	Operating_room	t1	Sample_OP	PMA	resistome	Level_1	1
OP_T1.31.1	OP_T1.31.1	Keyboard_palm_rest_on_the_right_next_to_wall	1	OP	Keyboard_palm_rest	Operating_room	OP	Operating_room	t1	Sample_OP	DNA	resistome	Level_1	1
OP_T1.31.2	OP_T1.31.2	Keyboard_palm_rest_on_the_right_next_to_wall	1	OP	Keyboard_palm_rest	Operating_room	OP	Operating_room	t1	Sample_OP	PMA	resistome	Level_1	1
OP_T1.32.1	OP_T1.32.1	Surgical_lighthead_back_on_the_left	1	OP	Surgical_lighthead	Operating_room	OP	Operating_room	t1	Sample_OP	DNA	resistome	Level_1	1
OP_T1.32.2	OP_T1.32.2	Surgical_lighthead_back_on_the_left	1	OP	Surgical_lighthead	Operating_room	OP	Operating_room	t1	Sample_OP	PMA	resistome	Level_1	1
OP_T1.33.1	OP_T1.33.1	Door_opening_buttons	1	OP	Door_opening_buttons	Operating_room	OP	Operating_room	t1	Sample_OP	DNA	resistome	Level_1	1
OP_T1.33.2	OP_T1.33.2	Door_opening_buttons	1	OP	Door_opening_buttons	Operating_room	OP	Operating_room	t1	Sample_OP	PMA	resistome	Level_1	1
OP_T1.34.1	OP_T1.34.1	Vacuum_suction_device_on_th_right_next_to_patient	1	OP	Vacuum_suction_device	Operating_room	OP	Operating_room	t1	Sample_OP	DNA	resistome	Level_1	1
OP_T1.34.2	OP_T1.34.2	Vacuum_suction_device_on_th_right_next_to_patient	1	OP	Vacuum_suction_device	Operating_room	OP	Operating_room	t1	Sample_OP	PMA	resistome	Level_1	1
OP_T1.35.1	OP_T1.35.1	Touchscreen_Infinity_C500_behind_1st_PC_on_the_right	1	OP	Touchscreen_Infinity_C500	Operating_room	OP	Operating_room	t1	Sample_OP	DNA	resistome	Level_1	1
OP_T1.35.2	OP_T1.35.2	Touchscreen_Infinity_C500_behind_1st_PC_on_the_right	1	OP	Touchscreen_Infinity_C500	Operating_room	OP	Operating_room	t1	Sample_OP	PMA	resistome	Level_1	1
OP_T2.26.1	OP_T2.26.1	floor_1m2	1	OP	floor	Operating_room	OP	Operating_room	t2	Sample_OP	DNA	resistome	Level_1	1
OP_T2.26.2	OP_T2.26.2	floor_1m2	1	OP	floor	Operating_room	OP	Operating_room	t2	Sample_OP	PMA	resistome	Level_1	1
OP_T2.27.1	OP_T2.27.1	"areas_around_keyboard_1,_PC_on_the_right"	1	OP	areas_around_keyboard	Operating_room	OP	Operating_room	t2	Sample_OP	DNA	resistome	Level_1	1
OP_T2.27.2	OP_T2.27.2	"areas_around_keyboard_1,_PC_on_the_right"	1	OP	areas_around_keyboard	Operating_room	OP	Operating_room	t2	Sample_OP	PMA	resistome	Level_1	1
OP_T2.28.1	OP_T2.28.1	Swivel_system_devices_on_the_left	1	OP	Swivel_system_devices	Operating_room	OP	Operating_room	t2	Sample_OP	DNA	resistome	Level_1	1
OP_T2.28.2	OP_T2.28.2	Swivel_system_devices_on_the_left	1	OP	Swivel_system_devices	Operating_room	OP	Operating_room	t2	Sample_OP	PMA	resistome	Level_1	1
OP_T2.29.1	OP_T2.29.1	Remote_Control_and_Surface_DrÌ?ger_on_the_right_behind_the_1st_PC	1	OP	Remote_Control_and_Surface	Operating_room	OP	Operating_room	t2	Sample_OP	DNA	resistome	Level_1	1
OP_T2.29.2	OP_T2.29.2	Remote_Control_and_Surface_DrÌ?ger_on_the_right_behind_the_1st_PC	1	OP	Remote_Control_and_Surface	Operating_room	OP	Operating_room	t2	Sample_OP	PMA	resistome	Level_1	1
